Core-ID,CDISC Rule ID,Error Message,Description,Standard Name,Standard Version,Scope,Executability,Status
CORE-000529,"CG0006, TIG0291, SEND73, TIG0274, SEND74, TIG0275, FB1603","'--DY is not calculated correctly even though the date portion of --DTC is complete, the date portion of DM.RFSTDTC is a complete date, and --DY is not empty.",Raise an error when --DY is not calculated as per the study day algorithm as a non-zero integer value when the date portion of --DTC is complete and the date portion of DM.RFSTDTC is a complete date AND --DY is not empty,"SDTMIG, TIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, SENDIG-AR","3.4, 3.2, 3.3, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""NONCLIN, INDH, PROD""}",Fully Executable,Published
,FB3211,'--STDTC is greater than --DTC,"Start Date/Time of Event, Exposure (--STDTC) must be less or equal to Date/Time of Collection(--DTC)","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""EVENTS"",""INTERVENTIONS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000356,"CG0014, SEND12, TIG0299, TIG0057",At least one Required variable has a null value,Part B: Raise an error when a Required variable is null.,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, TIG","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD, NONCLIN""}",Fully Executable,Published
CORE-000249,"CG0032, TIG0313",Visit Day cannot be found in Trial Visit (TV) domain,Verify that visitdy is planned and exists in TV,"SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Exclude"":[""TV""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000457,"CG0373, TIG0537",SUPP--.RDOMAIN does not represent a dataset present in the study,Trigger error when SUPP--.RDOMAIN does not represent a dataset present in the study,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""RELATIONSHIP""]},""Domains"":{""Include"":[""SUPP--""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CDISC.SDTMIG.CG0001,"CG0001, TIG0289, SEND16, TIG0090",DOMAIN Code is not a published DOMAIN Code in CDISC Controlled Terminology.,Raise and error when the DOMAIN Code is not a valid Domain Code published by CDISC.,"SDTMIG, TIG, SENDIG, SENDIG-DART, SENDIG-GENETOX","3.4, 3.2, 3.3, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD, NONCLIN""}",Fully Executable,Draft
,FB6901,The values of PPCAT and PCTEST do not match at the same reference timepoint,The values of PPCAT and PCTEST do not match at the same reference timepoint,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""PP""]}}",Partially Executable,Draft
CORE-000122,"CG0434, TIG0586","AGEU is completed, but both AGE and AGETXT are not completed.",Raise an error when AGEU is completed but both AGETXT and AGE are not completed.,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000594,"CG0359, SEND29, TIG0524, TIG0205",Variable label is not in title case.,Raise an error when a variable label is not in title case,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, TIG","3.4, 3.2, 3.3, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD, NONCLIN""}",Fully Executable,Published
CORE-000380,CG0146,"RFSTDTC must not be null when ACTARM is not in (Screen Failure, Not Assigned, Not Treated.","Raise an error when RFSTDTC is null, but ACTARM is neither Screen Failure, Not Assigned, nor Not Treated",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000379,CG0145,"RFSTDTC must be null when ACTARM in (Screen failure, Not Assigned, Not Treated).","Raise an error when RFSTDTC is not null, but ACTARM is either Screen Failure, Not Assigned, or Not Treated",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Partially Executable,Published
CORE-000378,CG0142,"RFENDTC must not be null when ACTARM is a value other than Screen Failure, Not Assigned, or Not Treated.","Raise an error when RFENDTC is null, but ACTARM is not Screen Failure, Not Assigned, or Not Treated",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000369,CG0141,"RFENDTC must be null when ACTARM in (Screen Failure, Not Assigned, Not Treated).","Raise an error when RFENDTC is not null, but ACTARM is Screen Failure, Not Assigned, or Not Treated",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000330,CG0122,ARM should be equal to ACTARM when ARM is Screen Failure or Not Assigned.,"ACTARM value must match ARM value in Demographics when ARM equals ""Screen Failure"" or ""Not Assigned""",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000368,"CG0120, CG0121","ARM is not in TA.ARM, but ARM in DM does not equal Screen Failure or Not Assigned.","ARM values in Demographics are restricted to ARM values in Trial Arms when not equal to ""Screen Failure"" or ""Not Assigned""",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000530,CG0119,ACTARM should be equal to ARM when ACTARM is Screen Failure or Not Assigned.,"Raise an error when ACTARM is Screen Failure or Not Assigned, and ACTARM does not equal ARM",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000367,"CG0117, CG0118","ACTARM is not in TA.ARM, but ACTARM in DM does not equal Screen Failure, Not Assigned, Not Treated, or Unplanned Treatment.","Raise an error when no TA.ARM exists for ACTARM in DM and ACTARM does not equal Screen Failure, Not Assigned, Not Treated, or Unplanned Treatment in DM",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
,FB2503,Subject is assigned to an arm but has no record in EX,"If a subject is assigned to an arm, the subject should have a record in EX.",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Partially Executable,Draft
CORE-000142,"CG0241, TIG0449","'--ELTM is not the same value across records with the same values of DOMAIN, VISITNUM, --TPTREF, and --TPTNUM.","Raise an error when --TPT ^= null and --TPTNUM ^= null and --ELTM ^= null and --ELTM does not have the same value across records with the same values of DOMAIN, VISITNUM, --TPTREF, and --TPTNUM.","SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Published
CDISC.SDTMIG.CG0184,CG0184,LBSTNRC is populated when LBORRES is a continuous measurement,"When LBORRES is a continuous measurement, LBSTNRC should be null",SDTMIG,"3.4, 3.2, 3.3","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""LB""]}}",Fully Executable,Draft
CORE-000699,FB3001,"Standards units are inconsistent within the same test (category, sub-category, specimen and method)","Standard units should be consistent within the same assessment (having the same --TESTCD, --CAT, --SCAT, --SPEC, --METHOD values)","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""FINDINGS"",""FINDINGS ABOUT""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000846,CG0531,RACE in DM equals 'MULTIPLE' but multiple races are not collected in SUPPDM.,Part C - Raise an error when RACE in DM equals 'MULTIPLE' but no multiple RACE records are present in SUPPDM.,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000845,CG0531,RACE in DM equals 'MULTIPLE' but multiple races are not collected in SUPPDM.,Part B -  Raise an error when RACE in DM equals 'MULTIPLE' but no records are present in SUPPDM.,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000575,"CG0219, SEND65, TIG0266, TIG0433",No timing variable is provided,There must be at least one timing variable for any of the domains based on the three general observation classes,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, TIG","3.4, 3.2, 3.3, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""FINDINGS"",""INTERVENTIONS"",""EVENTS""]},""Domains"":{""Exclude"":[""IE"",""SC""]},""Use_Case"":""NONCLIN, INDH""}",Partially Executable - Possible Underreporting,Published
CORE-000333,CG0215,"SVUPDES is not populated or does not exist, but the VISIT does not equal a VISIT present in TV",Raise an error when SVUPDES is null and SV.VISIT is not in TV.VISIT,SDTMIG,"3.2, 3.3","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]}}",Partially Executable - Possible Overreporting,Published
CORE-000843,CG0214,"SVUPDES is populated, but the VISITNUM equals a VISITNUM present in TV","When SVUPDES is populated, then the VISITNUM should not be equal to a VISITNUM in TV",SDTMIG,"3.2, 3.3","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]}}",Fully Executable,Published
CORE-000842,CG0213,"SVUPDES is not populated or does not exist, but the VISITNUM does not equal a VISITNUM present in TV","When SVUPDES is not populated, then the VISITNUM should be equal to a VISITNUM in TV",SDTMIG,"3.2, 3.3","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""SV""]}}",Partially Executable - Possible Overreporting,Published
CORE-000550,"CG0013, TIG0298",Variable is not an allowed variable for an Observation Class,Trigger error when variable is not an allowed variable for an Observation Class,"SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Partially Executable - Possible Underreporting,Published
CORE-000841,FB0612,"End date time value for an Adverse event with a fatal outcome, is not the same as DTHDTC value in DM domain","End date time value for an Adverse event with a fatal outcome, should be the same as DTHDTC value in DM domain",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE""]}}",Fully Executable,Published
CORE-000254,"CG0134, TIG0383, FB0603",DTHFL is not 'Y' when AE.AEOUT is 'FATAL'.,"When AE.AEOUT is 'FATAL', DTHFL must be 'Y'","SDTMIG, TIG","3.4, 3.2, 3.3, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]},""Use_Case"":""INDH""}",Fully Executable,Published
,FB0609,"AEOUT is not ""FATAL"" and AESDTH is not ""Y"", when DTHFL=""Y""","When the death flag in DM is set to ""Y"", a record should be present in AE domain, with a fatal outcome and cause of seriousness flagged as death.",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""AE"",""DM""]}}",Partially Executable - Possible Overreporting,Draft
CORE-000008,"CG0132, FB0601","DTHFL is not ""Y"", when SS.SSSTRESC equals ""DEAD""","When survival status is marked as Dead in SS dataset, death flag is populated as Y in DM dataset",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0562,"CG0562, TIG0648",'--REPNUM is null or is not unique per subject per test per timing variables.,"Raise an error when REPNUM is in the dataset and there are multiple records for a subject for a test within the timeframe identified by the timing variables on the record, and --REPNUM is null or not unique per subject per test per timing variables.","SDTMIG, TIG","3.4, 3.3, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Draft
CORE-000206,"CG0371, TIG0535, SEND121, TIG0058",IDVARVAL does not equal a value of the variable referenced by IDVAR in domain = RDOMAIN.,"When IDVAR is populated, IDVARVAL must equal a value of the variable referenced by IDVAR within the domain referenced by RDOMAIN","SDTMIG, TIG, SENDIG, SENDIG-DART, SENDIG-GENETOX","3.4, 3.2, 3.3, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""SPECIAL PURPOSE"",""RELATIONSHIP""]},""Domains"":{""Include"":[""CO"",""SUPP--"",""RELREC""]},""Use_Case"":""NONCLIN, INDH, PROD""}",Fully Executable,Published
